signal_date,entry_date,exit_date,entry_price,exit_price,tp_price,sl_price,units,pnl,reason,proba
2024-04-29,2024-04-30,2024-05-03,22690.99021582031,22474.936074627996,23145.562202427453,22463.70422251674,45,-9722.436353654175,SL,0.6412327012116367
2024-06-04,2024-06-05,2024-06-07,22139.413784179687,22899.052001534248,22910.50725516183,21753.867048688615,26,19750.59365121858,TP,0.6519654075670128
2024-08-05,2024-08-06,2024-08-12,24201.944534179685,24334.826500000003,24796.9021234654,23904.465739536827,34,4517.986837890792,TIME,0.73626906854745
2024-08-09,2024-08-12,2024-08-19,24332.210806640625,24560.36406542969,24976.23954547991,24010.196437220984,32,7300.904281250085,TIME,0.5382554516796443
2024-08-16,2024-08-19,2024-08-23,24648.667784179685,24810.73881542969,25242.032181501112,24351.98558551897,35,5672.486093750176,TIME,0.5469375510609844
2024-09-09,2024-09-10,2024-09-12,25011.900090820312,25315.349644262627,25328.01365108817,24853.843310686385,66,20027.670527192786,TP,0.5268950209958022
2024-09-10,2024-09-11,2024-09-12,25046.517,25364.263512844867,25376.951988839286,24881.29950558036,65,20653.52333491639,TP,0.5365092118655381
2024-09-12,2024-09-13,2024-09-19,25443.164443359372,25403.092880859378,25853.534979073658,25237.97917550223,53,-2123.792812499676,TIME,0.7269972431997933
2024-09-16,2024-09-17,2024-09-20,25429.60884082031,25816.70045060191,25829.615258231024,25229.60563211495,54,20902.94692820644,TP,0.5390780226905063
2024-10-25,2024-10-28,2024-11-01,24263.225159179685,24292.197434570313,24764.246922572544,24012.714277483257,44,1274.7801171876345,TIME,0.7143501917722171
2024-11-04,2024-11-05,2024-11-06,23928.45825,24491.427671405134,24503.679511160713,23640.84761941964,38,21392.8380133951,TP,0.630988728561391
2024-11-05,2024-11-06,2024-11-11,24320.904375,24030.921085279017,24924.889866071426,24018.911629464284,37,-10729.381719676323,SL,0.7042803350923088
2024-11-06,2024-11-07,2024-11-07,24501.844409179685,24209.59689709298,25110.536931501112,24197.49814801897,36,-10520.910435121405,SL,0.6026854041630915
2024-11-13,2024-11-14,2024-11-22,23553.921465820313,23895.296375,24194.563764927454,23233.60031626674,34,11606.746912109425,TIME,0.6923993063678167
2024-11-18,2024-11-19,2024-11-25,23541.315556640624,24130.47252135114,24142.543793247765,23240.70143833705,37,21798.80769428913,TP,0.7067807696320706
2024-11-21,2024-11-22,2024-11-25,23423.506681640625,24019.52634585003,24031.542116908484,23119.488964006698,37,22052.72757574799,TP,0.6914494950598199
2024-11-22,2024-11-25,2024-11-28,24265.677556640625,23944.601184341936,24931.76293610491,23932.634866908484,35,-11237.673030454098,SL,0.5172708398670254
2024-11-29,2024-12-02,2024-12-05,24152.920034179686,24793.766949162597,24806.170034179686,23826.295034179686,35,22429.642024401874,TP,0.5080178811306656
2024-12-13,2024-12-16,2024-12-17,24765.777090820313,24511.576977691617,25298.67664439174,24499.3273140346,44,-11184.804977662629,SL,0.652636891372151
2024-12-20,2024-12-23,2024-12-27,23750.068318359372,23801.49369042969,24308.589523716513,23470.8077156808,41,2108.440254882971,TIME,0.5154154416011536
